,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gyeonggi Yongin-si,Total,"29,272","3,258",316,755,"16,832","6,413",136,"1,562"
,Gyeonggi Yongin-si,Male,"15,224","1,657",169,412,"8,777","3,311",80,818
,Gyeonggi Yongin-si,Female,"14,048","1,601",147,343,"8,055","3,102",56,744
,Gyeonggi Paju-si,Total,"13,322","2,030",86,19,"6,691","3,513",16,967
,Gyeonggi Paju-si,Male,"6,907","1,069",49,9,"3,462","1,832",8,478
,Gyeonggi Paju-si,Female,"6,415",961,37,10,"3,229","1,681",8,489
,Gyeonggi Icheon-si,Total,"6,813",916,0,44,"4,906",575,8,364
,Gyeonggi Icheon-si,Male,"3,558",506,0,23,"2,525",313,4,187
,Gyeonggi Icheon-si,Female,"3,255",410,0,21,"2,381",262,4,177
,Gyeonggi Anseong-si,Total,"5,766",831,209,139,"3,522","1,065",0,0
,Gyeonggi Anseong-si,Male,"2,990",441,123,64,"1,816",546,0,0
,Gyeonggi Anseong-si,Female,"2,776",390,86,75,"1,706",519,0,0
,Gyeonggi Gimpo-si,Total,"14,532","3,107",402,0,"6,203","4,680",19,121
,Gyeonggi Gimpo-si,Male,"7,502","1,618",203,0,"3,198","2,404",11,68
,Gyeonggi Gimpo-si,Female,"7,030","1,489",199,0,"3,005","2,276",8,53
,Gyeonggi Hwaseong-si,Total,"26,901","5,543",349,181,"12,421","7,445",0,962
,Gyeonggi Hwaseong-si,Male,"13,957","2,838",177,108,"6,496","3,853",0,485
,Gyeonggi Hwaseong-si,Female,"12,944","2,705",172,73,"5,925","3,592",0,477
,Gyeonggi Gwangju-si,Total,"13,507","1,587",48,376,"9,174","2,205",27,90
,Gyeonggi Gwangju-si,Male,"6,926",849,23,202,"4,681","1,111",12,48
,Gyeonggi Gwangju-si,Female,"6,581",738,25,174,"4,493","1,094",15,42
,Gyeonggi Yangju-si,Total,"7,092","1,314",0,53,"3,965","1,557",0,203
,Gyeonggi Yangju-si,Male,"3,658",671,0,29,"2,050",803,0,105
,Gyeonggi Yangju-si,Female,"3,434",643,0,24,"1,915",754,0,98
,Gyeonggi Pocheon-si,Total,"3,525",701,0,67,"1,991",378,130,258
,Gyeonggi Pocheon-si,Male,"1,853",359,0,37,"1,052",196,73,136
,Gyeonggi Pocheon-si,Female,"1,672",342,0,30,939,182,57,122
,Gyeonggi Yeoju-si,Total,"2,247",226,142,38,"1,490",311,0,40
